method,num_cstep,entry_time,cstep_size,num_pstep,corrector,fid,k
gibbs,1,0.9,0,8,gibbs_mpf,15.535463,1
gibbs,1,0.9,0,8,gibbs_mpf,14.125303,2
gibbs,1,0.9,0,8,gibbs_mpf,12.214907,4
gibbs,1,0.9,0,8,gibbs_mpf,10.927839,8
gibbs,1,0.9,0,8,gibbs_mpf,10.297508,16
gibbs,1,0.9,0,8,gibbs_uninformed,,1
gibbs,1,0.9,0,8,gibbs_uninformed,,2
gibbs,1,0.9,0,8,gibbs_uninformed,,4
gibbs,1,0.9,0,8,gibbs_uninformed,,8
gibbs,1,0.9,0,8,gibbs_uninformed,,16
gibbs,1,0.9,0,8,gibbs,15.518435,1
gibbs,1,0.9,0,8,gibbs,14.491246,2
gibbs,1,0.9,0,8,gibbs,12.755871,4
gibbs,1,0.9,0,8,gibbs,11.75079,8
gibbs,1,0.9,0,8,gibbs,11.491398,16
gibbs,1,0.9,0,16,gibbs_mpf,10.79281,1
gibbs,1,0.9,0,16,gibbs_mpf,10.0387335,2
gibbs,1,0.9,0,16,gibbs_mpf,9.228224,4
gibbs,1,0.9,0,16,gibbs_mpf,9.061438,8
gibbs,1,0.9,0,16,gibbs_mpf,9.054949,16
gibbs,1,0.9,0,16,gibbs_uninformed,,1
gibbs,1,0.9,0,16,gibbs_uninformed,,2
gibbs,1,0.9,0,16,gibbs_uninformed,,4
gibbs,1,0.9,0,16,gibbs_uninformed,,8
gibbs,1,0.9,0,16,gibbs_uninformed,,16
gibbs,1,0.9,0,16,gibbs,10.596807,1
gibbs,1,0.9,0,16,gibbs,10.174225,2
gibbs,1,0.9,0,16,gibbs,9.269443,4
gibbs,1,0.9,0,16,gibbs,8.875624,8
gibbs,1,0.9,0,16,gibbs,9.044727,16
gibbs,1,0.9,0,32,gibbs_mpf,9.3527155,1
gibbs,1,0.9,0,32,gibbs_mpf,9.012936,2
gibbs,1,0.9,0,32,gibbs_mpf,9.510196,4
gibbs,1,0.9,0,32,gibbs_mpf,10.468538,8
gibbs,1,0.9,0,32,gibbs_mpf,10.733637,16
gibbs,1,0.9,0,32,gibbs_uninformed,,1
gibbs,1,0.9,0,32,gibbs_uninformed,,2
gibbs,1,0.9,0,32,gibbs_uninformed,,4
gibbs,1,0.9,0,32,gibbs_uninformed,,8
gibbs,1,0.9,0,32,gibbs_uninformed,,16
gibbs,1,0.9,0,32,gibbs,9.303304,1
gibbs,1,0.9,0,32,gibbs,9.040107,2
gibbs,1,0.9,0,32,gibbs,9.073293,4
gibbs,1,0.9,0,32,gibbs,9.30395,8
gibbs,1,0.9,0,32,gibbs,9.134389,16
gibbs,1,0.9,0,64,gibbs_mpf,8.977264,1
gibbs,1,0.9,0,64,gibbs_mpf,9.868979,2
gibbs,1,0.9,0,64,gibbs_mpf,11.5559025,4
gibbs,1,0.9,0,64,gibbs_mpf,13.26554,8
gibbs,1,0.9,0,64,gibbs_mpf,14.027996,16
gibbs,1,0.9,0,64,gibbs_uninformed,,1
gibbs,1,0.9,0,64,gibbs_uninformed,,2
gibbs,1,0.9,0,64,gibbs_uninformed,,4
gibbs,1,0.9,0,64,gibbs_uninformed,,8
gibbs,1,0.9,0,64,gibbs_uninformed,,16
gibbs,1,0.9,0,64,gibbs,9.1144085,1
gibbs,1,0.9,0,64,gibbs,9.636439,2
gibbs,1,0.9,0,64,gibbs,10.421361,4
gibbs,1,0.9,0,64,gibbs,11.008268,8
gibbs,1,0.9,0,64,gibbs,11.236423,16
gibbs,1,0.9,0,128,gibbs_mpf,10.1189165,1
gibbs,1,0.9,0,128,gibbs_mpf,12.241955,2
gibbs,1,0.9,0,128,gibbs_mpf,14.499046,4
gibbs,1,0.9,0,128,gibbs_mpf,16.617062,8
gibbs,1,0.9,0,128,gibbs_mpf,17.11045,16
gibbs,1,0.9,0,128,gibbs_uninformed,,1
gibbs,1,0.9,0,128,gibbs_uninformed,,2
gibbs,1,0.9,0,128,gibbs_uninformed,,4
gibbs,1,0.9,0,128,gibbs_uninformed,,8
gibbs,1,0.9,0,128,gibbs_uninformed,,16
gibbs,1,0.9,0,128,gibbs,10.148134,1
gibbs,1,0.9,0,128,gibbs,11.388441,2
gibbs,1,0.9,0,128,gibbs,12.704105,4
gibbs,1,0.9,0,128,gibbs,13.818892,8
gibbs,1,0.9,0,128,gibbs,13.9412565,16
gibbs,1,0.5,0,8,gibbs_mpf,16.889893,1
gibbs,1,0.5,0,8,gibbs_mpf,16.284292,2
gibbs,1,0.5,0,8,gibbs_mpf,15.088351,4
gibbs,1,0.5,0,8,gibbs_mpf,13.603585,8
gibbs,1,0.5,0,8,gibbs_mpf,12.156893,16
gibbs,1,0.5,0,8,gibbs_uninformed,,1
gibbs,1,0.5,0,8,gibbs_uninformed,,2
gibbs,1,0.5,0,8,gibbs_uninformed,,4
gibbs,1,0.5,0,8,gibbs_uninformed,,8
gibbs,1,0.5,0,8,gibbs_uninformed,,16
gibbs,1,0.5,0,8,gibbs,16.743666,1
gibbs,1,0.5,0,8,gibbs,15.98023,2
gibbs,1,0.5,0,8,gibbs,15.223675,4
gibbs,1,0.5,0,8,gibbs,14.035759,8
gibbs,1,0.5,0,8,gibbs,13.1692,16
gibbs,1,0.5,0,16,gibbs_mpf,12.050061,1
gibbs,1,0.5,0,16,gibbs_mpf,11.606886,2
gibbs,1,0.5,0,16,gibbs_mpf,10.874151,4
gibbs,1,0.5,0,16,gibbs_mpf,10.136618,8
gibbs,1,0.5,0,16,gibbs_mpf,9.362325,16
gibbs,1,0.5,0,16,gibbs_uninformed,,1
gibbs,1,0.5,0,16,gibbs_uninformed,,2
gibbs,1,0.5,0,16,gibbs_uninformed,,4
