method,num_cstep,entry_time,cstep_size,num_pstep,corrector,fid,k
euler,1,0.9,0,8,gibbs,13.712424,1.0
euler,1,0.9,0,8,gibbs,12.20421,2.0
euler,1,0.9,0,8,gibbs,10.976541,4.0
euler,1,0.9,0,8,gibbs,10.293639,8.0
euler,1,0.9,0,8,gibbs,10.09901,16.0
euler,1,0.9,0,16,gibbs,9.905838,1.0
euler,1,0.9,0,16,gibbs,9.611488,2.0
euler,1,0.9,0,16,gibbs,9.884569,4.0
euler,1,0.9,0,16,gibbs,10.115267,8.0
euler,1,0.9,0,16,gibbs,10.1976385,16.0
euler,1,0.9,0,32,gibbs,9.576878,1.0
euler,1,0.9,0,32,gibbs,10.43239,2.0
euler,1,0.9,0,32,gibbs,11.561419,4.0
euler,1,0.9,0,32,gibbs,12.135622,8.0
euler,1,0.9,0,32,gibbs,11.889282,16.0
euler,1,0.9,0,64,gibbs,10.773859,1.0
euler,1,0.9,0,64,gibbs,12.105772,2.0
euler,1,0.9,0,64,gibbs,13.351445,4.0
euler,1,0.9,0,64,gibbs,14.106413,8.0
euler,1,0.9,0,64,gibbs,13.973367,16.0
euler,1,0.9,0,128,gibbs,12.4195,1.0
euler,1,0.9,0,128,gibbs,14.209364,2.0
euler,1,0.9,0,128,gibbs,15.696627,4.0
euler,1,0.9,0,128,gibbs,16.724648,8.0
euler,1,0.9,0,128,gibbs,16.295967,16.0
euler,1,0.5,0,8,gibbs,16.047398,1.0
euler,1,0.5,0,8,gibbs,14.822115,2.0
euler,1,0.5,0,8,gibbs,13.437978,4.0
euler,1,0.5,0,8,gibbs,12.187698,8.0
euler,1,0.5,0,8,gibbs,11.383266,16.0
euler,1,0.5,0,16,gibbs,11.517822,1.0
euler,1,0.5,0,16,gibbs,10.9351015,2.0
euler,1,0.5,0,16,gibbs,10.220279,4.0
euler,1,0.5,0,16,gibbs,9.557565,8.0
euler,1,0.5,0,16,gibbs,9.178863,16.0
euler,1,0.5,0,32,gibbs,9.864483,1.0
euler,1,0.5,0,32,gibbs,9.559567,2.0
euler,1,0.5,0,32,gibbs,9.250113,4.0
euler,1,0.5,0,32,gibbs,9.270134,8.0
euler,1,0.5,0,32,gibbs,9.231458,16.0
euler,1,0.5,0,64,gibbs,9.0493,1.0
euler,1,0.5,0,64,gibbs,8.849315,2.0
euler,1,0.5,0,64,gibbs,8.995192,4.0
euler,1,0.5,0,64,gibbs,9.427137,8.0
euler,1,0.5,0,64,gibbs,10.312121,16.0
euler,1,0.5,0,128,gibbs,8.98171,1.0
euler,1,0.5,0,128,gibbs,9.2902775,2.0
euler,1,0.5,0,128,gibbs,9.69945,4.0
euler,1,0.5,0,128,gibbs,10.721352,8.0
euler,1,0.5,0,128,gibbs,11.959136,16.0
