seed,nfe,forward_process,predictor_type,corrector_type,num_steps,gibbs_k,gibbs_temperature,anneal_temperature,maskgit_temperature,avg_run_length,error_rate
0,16,CosineSchedule,md4,none,16,,,False,,6.827759,0.00903937
1,16,CosineSchedule,md4,none,16,,,False,,6.79983,0.009362206
2,16,CosineSchedule,md4,none,16,,,False,,6.7800198,0.009370079
3,16,CosineSchedule,md4,none,16,,,False,,6.885422,0.009181101
4,16,CosineSchedule,md4,none,16,,,False,,6.73082,0.009543308
0,16,CosineSchedule,md4,none,16,,,False,,6.827759,0.00903937
1,16,CosineSchedule,md4,none,16,,,False,,6.79983,0.009362206
2,16,CosineSchedule,md4,none,16,,,False,,6.7800198,0.009370079
3,16,CosineSchedule,md4,none,16,,,False,,6.885422,0.009181101
4,16,CosineSchedule,md4,none,16,,,False,,6.73082,0.009543308
0,16,CosineSchedule,md4,gibbs,8,1,0.01,True,,6.5705047,0.016425202
1,16,CosineSchedule,md4,gibbs,8,1,0.01,True,,6.3488913,0.0174252
2,16,CosineSchedule,md4,gibbs,8,1,0.01,True,,6.528614,0.017188977
3,16,CosineSchedule,md4,gibbs,8,1,0.01,True,,6.642794,0.016535435
4,16,CosineSchedule,md4,gibbs,8,1,0.01,True,,6.483639,0.016582679
0,16,CosineSchedule,md4,gibbs,8,1,0.1,True,,6.5506654,0.01628347
1,16,CosineSchedule,md4,gibbs,8,1,0.1,True,,6.358353,0.01699213
2,16,CosineSchedule,md4,gibbs,8,1,0.1,True,,6.506379,0.017236218
3,16,CosineSchedule,md4,gibbs,8,1,0.1,True,,6.6184077,0.016503938
4,16,CosineSchedule,md4,gibbs,8,1,0.1,True,,6.4767494,0.016629925
0,16,CosineSchedule,md4,gibbs,8,1,0.5,True,,6.4102564,0.017007876
1,16,CosineSchedule,md4,gibbs,8,1,0.5,True,,6.308215,0.017377956
2,16,CosineSchedule,md4,gibbs,8,1,0.5,True,,6.4938364,0.016755907
3,16,CosineSchedule,md4,gibbs,8,1,0.5,True,,6.573879,0.016472444
4,16,CosineSchedule,md4,gibbs,8,1,0.5,True,,6.481341,0.016275594
0,16,CosineSchedule,md4,gibbs,8,1,1.0,True,,6.3262987,0.017165357
1,16,CosineSchedule,md4,gibbs,8,1,1.0,True,,6.1976466,0.017937012
2,16,CosineSchedule,md4,gibbs,8,1,1.0,True,,6.4652996,0.016881892
3,16,CosineSchedule,md4,gibbs,8,1,1.0,True,,6.504726,0.016527561
4,16,CosineSchedule,md4,gibbs,8,1,1.0,True,,6.3748193,0.016944882
0,16,CosineSchedule,md4,gibbs,8,1,2.0,True,,6.21812,0.017299214
1,16,CosineSchedule,md4,gibbs,8,1,2.0,True,,6.065776,0.01822835
2,16,CosineSchedule,md4,gibbs,8,1,2.0,True,,6.2720504,0.01728347
3,16,CosineSchedule,md4,gibbs,8,1,2.0,True,,6.345115,0.01685827
4,16,CosineSchedule,md4,gibbs,8,1,2.0,True,,6.2429886,0.017149609
0,16,CosineSchedule,md4,gibbs,8,1,4.0,True,,6.0568776,0.017007878
1,16,CosineSchedule,md4,gibbs,8,1,4.0,True,,5.9084196,0.018614175
2,16,CosineSchedule,md4,gibbs,8,1,4.0,True,,6.125574,0.017125988
3,16,CosineSchedule,md4,gibbs,8,1,4.0,True,,6.1994486,0.016236221
4,16,CosineSchedule,md4,gibbs,8,1,4.0,True,,6.0830717,0.01684252
0,16,CosineSchedule,md4,gibbs,8,2,0.01,True,,6.171649,0.020456694
1,16,CosineSchedule,md4,gibbs,8,2,0.01,True,,5.997282,0.021551182
2,16,CosineSchedule,md4,gibbs,8,2,0.01,True,,6.2417707,0.020212604
3,16,CosineSchedule,md4,gibbs,8,2,0.01,True,,6.23326,0.020267721
4,16,CosineSchedule,md4,gibbs,8,2,0.01,True,,6.1217656,0.02033071
0,16,CosineSchedule,md4,gibbs,8,2,0.1,True,,6.1746264,0.02040158
1,16,CosineSchedule,md4,gibbs,8,2,0.1,True,,6.0026264,0.021480313
2,16,CosineSchedule,md4,gibbs,8,2,0.1,True,,6.1964464,0.020488193
3,16,CosineSchedule,md4,gibbs,8,2,0.1,True,,6.237513,0.02007087
4,16,CosineSchedule,md4,gibbs,8,2,0.1,True,,6.099014,0.02085827
0,16,CosineSchedule,md4,gibbs,8,2,0.5,True,,6.1785007,0.020551186
1,16,CosineSchedule,md4,gibbs,8,2,0.5,True,,6.030908,0.021007877
2,16,CosineSchedule,md4,gibbs,8,2,0.5,True,,6.2078667,0.02075591
3,16,CosineSchedule,md4,gibbs,8,2,0.5,True,,6.2973533,0.019535434
4,16,CosineSchedule,md4,gibbs,8,2,0.5,True,,6.1010485,0.02047244
0,16,CosineSchedule,md4,gibbs,8,2,1.0,True,,6.1582866,0.020984247
1,16,CosineSchedule,md4,gibbs,8,2,1.0,True,,6.034889,0.021362206
2,16,CosineSchedule,md4,gibbs,8,2,1.0,True,,6.154142,0.02095276
3,16,CosineSchedule,md4,gibbs,8,2,1.0,True,,6.2778945,0.019527564
4,16,CosineSchedule,md4,gibbs,8,2,1.0,True,,6.098723,0.020787407
0,16,CosineSchedule,md4,gibbs,8,2,2.0,True,,6.119132,0.02034646
1,16,CosineSchedule,md4,gibbs,8,2,2.0,True,,5.9832654,0.0216063
2,16,CosineSchedule,md4,gibbs,8,2,2.0,True,,6.098723,0.02145669
3,16,CosineSchedule,md4,gibbs,8,2,2.0,True,,6.2108784,0.019960633
4,16,CosineSchedule,md4,gibbs,8,2,2.0,True,,6.0706663,0.020606302
0,16,CosineSchedule,md4,gibbs,8,2,4.0,True,,6.0116477,0.020685045
1,16,CosineSchedule,md4,gibbs,8,2,4.0,True,,5.833827,0.022181107
2,16,CosineSchedule,md4,gibbs,8,2,4.0,True,,5.996439,0.021559063
3,16,CosineSchedule,md4,gibbs,8,2,4.0,True,,6.0096717,0.020803152
4,16,CosineSchedule,md4,gibbs,8,2,4.0,True,,5.9196224,0.02140945
0,16,CosineSchedule,md4,gibbs,8,4,0.01,True,,6.063764,0.02697638
1,16,CosineSchedule,md4,gibbs,8,4,0.01,True,,5.938573,0.027771655
2,16,CosineSchedule,md4,gibbs,8,4,0.01,True,,5.9665318,0.028275594
3,16,CosineSchedule,md4,gibbs,8,4,0.01,True,,6.0920467,0.026787402
4,16,CosineSchedule,md4,gibbs,8,4,0.01,True,,5.990266,0.028039373
0,16,CosineSchedule,md4,gibbs,8,4,0.1,True,,6.0414405,0.02699213
1,16,CosineSchedule,md4,gibbs,8,4,0.1,True,,5.9095106,0.028188977
2,16,CosineSchedule,md4,gibbs,8,4,0.1,True,,5.986064,0.028181102
3,16,CosineSchedule,md4,gibbs,8,4,0.1,True,,6.0845175,0.027047245
4,16,CosineSchedule,md4,gibbs,8,4,0.1,True,,6.0150375,0.027598424
0,16,CosineSchedule,md4,gibbs,8,4,0.5,True,,5.986624,0.027259845
1,16,CosineSchedule,md4,gibbs,8,4,0.5,True,,5.934443,0.028007869
2,16,CosineSchedule,md4,gibbs,8,4,0.5,True,,5.937471,0.028685039
3,16,CosineSchedule,md4,gibbs,8,4,0.5,True,,6.093207,0.026716534
4,16,CosineSchedule,md4,gibbs,8,4,0.5,True,,5.9846644,0.028
0,16,CosineSchedule,md4,gibbs,8,4,1.0,True,,6.0608926,0.026889764
1,16,CosineSchedule,md4,gibbs,8,4,1.0,True,,5.9899855,0.027251974
2,16,CosineSchedule,md4,gibbs,8,4,1.0,True,,5.916066,0.028456695
3,16,CosineSchedule,md4,gibbs,8,4,1.0,True,,6.0946574,0.02677953
4,16,CosineSchedule,md4,gibbs,8,4,1.0,True,,6.0040336,0.027771657
0,16,CosineSchedule,md4,gibbs,8,4,2.0,True,,5.988865,0.027566928
1,16,CosineSchedule,md4,gibbs,8,4,2.0,True,,5.974329,0.027338581
2,16,CosineSchedule,md4,gibbs,8,4,2.0,True,,5.8864107,0.028055117
3,16,CosineSchedule,md4,gibbs,8,4,2.0,True,,6.0272164,0.027149612
4,16,CosineSchedule,md4,gibbs,8,4,2.0,True,,6.052009,0.0267874
0,16,CosineSchedule,md4,gibbs,8,4,4.0,True,,5.9095106,0.028015755
1,16,CosineSchedule,md4,gibbs,8,4,4.0,True,,5.831435,0.028015753
2,16,CosineSchedule,md4,gibbs,8,4,4.0,True,,5.8629537,0.027551185
3,16,CosineSchedule,md4,gibbs,8,4,4.0,True,,5.94464,0.027165351
4,16,CosineSchedule,md4,gibbs,8,4,4.0,True,,5.933068,0.027204724
0,16,CosineSchedule,md4,gibbs,8,8,0.01,True,,5.1748533,0.035125982
1,16,CosineSchedule,md4,gibbs,8,8,0.01,True,,5.1380863,0.03467716
2,16,CosineSchedule,md4,gibbs,8,8,0.01,True,,5.2072735,0.034606297
3,16,CosineSchedule,md4,gibbs,8,8,0.01,True,,5.274218,0.03441733
4,16,CosineSchedule,md4,gibbs,8,8,0.01,True,,5.231323,0.034724403
0,16,CosineSchedule,md4,gibbs,8,8,0.1,True,,5.187016,0.034897637
