seed,nfe,forward_process,predictor_type,corrector_type,num_steps,gibbs_k,gibbs_temperature,anneal_temperature,maskgit_temperature,corrector_step_size,avg_run_length,error_rate
0,16,CosineSchedule,md4,forward_backward,8,,,False,,0.01,5.3169394,0.020724408
1,16,CosineSchedule,md4,forward_backward,8,,,False,,0.01,5.2737837,0.020984255
2,16,CosineSchedule,md4,forward_backward,8,,,False,,0.01,5.2997684,0.02066142
3,16,CosineSchedule,md4,forward_backward,8,,,False,,0.01,5.34804,0.020464573
4,16,CosineSchedule,md4,forward_backward,8,,,False,,0.01,5.2644567,0.02087402
0,16,CosineSchedule,md4,forward_backward,8,,,False,,0.1,5.6002803,0.017779531
1,16,CosineSchedule,md4,forward_backward,8,,,False,,0.1,5.5336995,0.017960636
2,16,CosineSchedule,md4,forward_backward,8,,,False,,0.1,5.6152663,0.017433075
3,16,CosineSchedule,md4,forward_backward,8,,,False,,0.1,5.5946503,0.018157488
4,16,CosineSchedule,md4,forward_backward,8,,,False,,0.1,5.6000347,0.017275594
0,16,CosineSchedule,md4,forward_backward,8,,,False,,0.5,6.032898,0.012220476
1,16,CosineSchedule,md4,forward_backward,8,,,False,,0.5,6.002344,0.011732285
2,16,CosineSchedule,md4,forward_backward,8,,,False,,0.5,6.129975,0.012267717
3,16,CosineSchedule,md4,forward_backward,8,,,False,,0.5,6.0580244,0.012559057
4,16,CosineSchedule,md4,forward_backward,8,,,False,,0.5,6.1585836,0.011598427
0,16,CosineSchedule,md4,forward_backward,8,,,False,,1.0,5.9152455,0.011480316
1,16,CosineSchedule,md4,forward_backward,8,,,False,,1.0,5.9256516,0.012000002
2,16,CosineSchedule,md4,forward_backward,8,,,False,,1.0,5.9251027,0.011496063
3,16,CosineSchedule,md4,forward_backward,8,,,False,,1.0,5.9182544,0.0118582705
4,16,CosineSchedule,md4,forward_backward,8,,,False,,1.0,5.9198966,0.011377954
0,16,CosineSchedule,md4,forward_backward,8,,,False,,1.5,5.752809,0.012456694
1,16,CosineSchedule,md4,forward_backward,8,,,False,,1.5,5.6866145,0.013236222
2,16,CosineSchedule,md4,forward_backward,8,,,False,,1.5,5.7453213,0.012669294
3,16,CosineSchedule,md4,forward_backward,8,,,False,,1.5,5.7655063,0.012314962
4,16,CosineSchedule,md4,forward_backward,8,,,False,,1.5,5.6629653,0.012692914
0,16,CosineSchedule,md4,forward_backward,8,,,False,,2.0,5.53729,0.01389764
1,16,CosineSchedule,md4,forward_backward,8,,,False,,2.0,5.417531,0.014889767
2,16,CosineSchedule,md4,forward_backward,8,,,False,,2.0,5.522717,0.014519687
3,16,CosineSchedule,md4,forward_backward,8,,,False,,2.0,5.506561,0.014228346
4,16,CosineSchedule,md4,forward_backward,8,,,False,,2.0,5.374764,0.015220477
0,16,CosineSchedule,md4,forward_backward,8,,,False,,3.0,5.098383,0.018795274
1,16,CosineSchedule,md4,forward_backward,8,,,False,,3.0,5.0870357,0.019110238
2,16,CosineSchedule,md4,forward_backward,8,,,False,,3.0,5.119795,0.01953544
3,16,CosineSchedule,md4,forward_backward,8,,,False,,3.0,5.0894637,0.019322839
4,16,CosineSchedule,md4,forward_backward,8,,,False,,3.0,5.0687046,0.019165358
0,16,CosineSchedule,md4,forward_backward,8,,,False,,4.0,4.707613,0.025409453
1,16,CosineSchedule,md4,forward_backward,8,,,False,,4.0,4.73618,0.025543308
2,16,CosineSchedule,md4,forward_backward,8,,,False,,4.0,4.7426724,0.02480315
3,16,CosineSchedule,md4,forward_backward,8,,,False,,4.0,4.686756,0.026511807
4,16,CosineSchedule,md4,forward_backward,8,,,False,,4.0,4.68916,0.024740161
0,16,CosineSchedule,md4,forward_backward,8,,,False,,5.0,4.3777146,0.032440946
1,16,CosineSchedule,md4,forward_backward,8,,,False,,5.0,4.4086246,0.031834647
2,16,CosineSchedule,md4,forward_backward,8,,,False,,5.0,4.3807116,0.031952765
3,16,CosineSchedule,md4,forward_backward,8,,,False,,5.0,4.4275336,0.031897638
4,16,CosineSchedule,md4,forward_backward,8,,,False,,5.0,4.4156203,0.031590547
0,32,CosineSchedule,md4,forward_backward,16,,,False,,0.01,6.8706384,0.008937006
1,32,CosineSchedule,md4,forward_backward,16,,,False,,0.01,6.825211,0.009149605
2,32,CosineSchedule,md4,forward_backward,16,,,False,,0.01,6.795498,0.009299213
3,32,CosineSchedule,md4,forward_backward,16,,,False,,0.01,6.8743286,0.0091811
4,32,CosineSchedule,md4,forward_backward,16,,,False,,0.01,6.778584,0.009330708
0,32,CosineSchedule,md4,forward_backward,16,,,False,,0.1,7.079646,0.00798425
1,32,CosineSchedule,md4,forward_backward,16,,,False,,0.1,7.0410914,0.007803147
2,32,CosineSchedule,md4,forward_backward,16,,,False,,0.1,6.996447,0.0077480287
3,32,CosineSchedule,md4,forward_backward,16,,,False,,0.1,6.9903336,0.008007872
4,32,CosineSchedule,md4,forward_backward,16,,,False,,0.1,6.9949174,0.007905509
0,32,CosineSchedule,md4,forward_backward,16,,,False,,0.5,7.470526,0.0051181084
1,32,CosineSchedule,md4,forward_backward,16,,,False,,0.5,7.4224415,0.005354329
2,32,CosineSchedule,md4,forward_backward,16,,,False,,0.5,7.4414277,0.0053464547
3,32,CosineSchedule,md4,forward_backward,16,,,False,,0.5,7.5560803,0.0051889746
4,32,CosineSchedule,md4,forward_backward,16,,,False,,0.5,7.310526,0.005685038
0,32,CosineSchedule,md4,forward_backward,16,,,False,,1.0,7.1946487,0.0052362187
1,32,CosineSchedule,md4,forward_backward,16,,,False,,1.0,7.2455564,0.005338581
2,32,CosineSchedule,md4,forward_backward,16,,,False,,1.0,7.2599397,0.005401573
3,32,CosineSchedule,md4,forward_backward,16,,,False,,1.0,7.218588,0.0055039357
4,32,CosineSchedule,md4,forward_backward,16,,,False,,1.0,7.1813283,0.005401573
0,32,CosineSchedule,md4,forward_backward,16,,,False,,1.5,6.8813505,0.0058110217
1,32,CosineSchedule,md4,forward_backward,16,,,False,,1.5,6.9640913,0.0061889743
2,32,CosineSchedule,md4,forward_backward,16,,,False,,1.5,6.9968295,0.0058897617
3,32,CosineSchedule,md4,forward_backward,16,,,False,,1.5,6.93955,0.006165352
4,32,CosineSchedule,md4,forward_backward,16,,,False,,1.5,6.9523654,0.0059212577
0,32,CosineSchedule,md4,forward_backward,16,,,False,,2.0,6.5550265,0.006637793
1,32,CosineSchedule,md4,forward_backward,16,,,False,,2.0,6.5863953,0.0072362176
2,32,CosineSchedule,md4,forward_backward,16,,,False,,2.0,6.719866,0.0065118093
