nfe,forward_process,predictor_type,corrector_type,num_steps,gibbs_k,gibbs_temperature,anneal_temperature,maskgit_temperature,avg_run_length,error_rate
8,LinearSchedule,md4,none,8,,,True,,2.4710426,0.1331811
8,LinearSchedule,md4,none,8,,,True,,2.4500422,0.13445672
8,LinearSchedule,md4,none,8,,,True,,2.4607813,0.13315748
8,LinearSchedule,md4,none,8,,,True,,2.4692311,0.13418113
8,LinearSchedule,md4,none,8,,,True,,2.4494326,0.1335748
8,LinearSchedule,md4,gibbs,4,1,0.1,True,,1.7754598,0.1934961
8,LinearSchedule,md4,gibbs,4,1,0.1,True,,1.7779753,0.19184248
8,LinearSchedule,md4,gibbs,4,1,0.1,True,,1.7744999,0.19265358
8,LinearSchedule,md4,gibbs,4,1,0.1,True,,1.7786671,0.19270867
8,LinearSchedule,md4,gibbs,4,1,0.1,True,,1.7854651,0.1920079
8,LinearSchedule,md4,gibbs,4,1,0.5,True,,1.775706,0.19342522
8,LinearSchedule,md4,gibbs,4,1,0.5,True,,1.7780493,0.19185822
8,LinearSchedule,md4,gibbs,4,1,0.5,True,,1.7745245,0.19263785
8,LinearSchedule,md4,gibbs,4,1,0.5,True,,1.7789143,0.1927008
8,LinearSchedule,md4,gibbs,4,1,0.5,True,,1.785515,0.19200003
8,LinearSchedule,md4,gibbs,4,1,1.0,True,,1.7759773,0.19333073
8,LinearSchedule,md4,gibbs,4,1,1.0,True,,1.7781235,0.19189759
8,LinearSchedule,md4,gibbs,4,1,1.0,True,,1.7743523,0.19270083
8,LinearSchedule,md4,gibbs,4,1,1.0,True,,1.7787166,0.19259845
8,LinearSchedule,md4,gibbs,4,1,1.0,True,,1.7854651,0.19200003
8,LinearSchedule,md4,gibbs,4,1,2.0,True,,1.775706,0.19337009
8,LinearSchedule,md4,gibbs,4,1,2.0,True,,1.778,0.19190547
8,LinearSchedule,md4,gibbs,4,1,2.0,True,,1.7744261,0.19263785
8,LinearSchedule,md4,gibbs,4,1,2.0,True,,1.778593,0.1926142
8,LinearSchedule,md4,gibbs,4,1,2.0,True,,1.7852162,0.19204728
8,LinearSchedule,md4,gibbs,4,1,4.0,True,,1.7751642,0.19342521
8,LinearSchedule,md4,gibbs,4,1,4.0,True,,1.7778271,0.19190547
8,LinearSchedule,md4,gibbs,4,1,4.0,True,,1.7740326,0.19261423
8,LinearSchedule,md4,gibbs,4,1,4.0,True,,1.7781482,0.1926142
8,LinearSchedule,md4,gibbs,4,1,4.0,True,,1.7848179,0.19212602
8,LinearSchedule,md4,gibbs,4,2,0.1,True,,1.783475,0.19353545
8,LinearSchedule,md4,gibbs,4,2,0.1,True,,1.7860881,0.19207086
8,LinearSchedule,md4,gibbs,4,2,0.1,True,,1.780597,0.19273229
8,LinearSchedule,md4,gibbs,4,2,0.1,True,,1.7841462,0.19259056
8,LinearSchedule,md4,gibbs,4,2,0.1,True,,1.7925414,0.19200788
8,LinearSchedule,md4,gibbs,4,2,0.5,True,,1.7836987,0.19350395
8,LinearSchedule,md4,gibbs,4,2,0.5,True,,1.7861878,0.19207086
8,LinearSchedule,md4,gibbs,4,2,0.5,True,,1.780597,0.19274804
8,LinearSchedule,md4,gibbs,4,2,0.5,True,,1.7843451,0.1925512
8,LinearSchedule,md4,gibbs,4,2,0.5,True,,1.7925414,0.19204725
8,LinearSchedule,md4,gibbs,4,2,1.0,True,,1.7834253,0.19353545
8,LinearSchedule,md4,gibbs,4,2,1.0,True,,1.7858388,0.19206297
8,LinearSchedule,md4,gibbs,4,2,1.0,True,,1.7807952,0.19279528
8,LinearSchedule,md4,gibbs,4,2,1.0,True,,1.7843701,0.19248821
8,LinearSchedule,md4,gibbs,4,2,1.0,True,,1.792692,0.19199213
8,LinearSchedule,md4,gibbs,4,2,2.0,True,,1.783152,0.19345672
8,LinearSchedule,md4,gibbs,4,2,2.0,True,,1.7854651,0.19191335
8,LinearSchedule,md4,gibbs,4,2,2.0,True,,1.7808448,0.19281104
8,LinearSchedule,md4,gibbs,4,2,2.0,True,,1.7839224,0.19238584
8,LinearSchedule,md4,gibbs,4,2,2.0,True,,1.7928677,0.19196068
8,LinearSchedule,md4,gibbs,4,2,4.0,True,,1.7820349,0.19355908
8,LinearSchedule,md4,gibbs,4,2,4.0,True,,1.7846189,0.19193698
8,LinearSchedule,md4,gibbs,4,2,4.0,True,,1.7804979,0.19278742
8,LinearSchedule,md4,gibbs,4,2,4.0,True,,1.7829036,0.19244882
8,LinearSchedule,md4,gibbs,4,2,4.0,True,,1.7922903,0.19203153
8,LinearSchedule,md4,gibbs,4,4,0.1,True,,1.8077819,0.19392124
8,LinearSchedule,md4,gibbs,4,4,0.1,True,,1.8057673,0.19234645
8,LinearSchedule,md4,gibbs,4,4,0.1,True,,1.8022585,0.19441731
8,LinearSchedule,md4,gibbs,4,4,0.1,True,,1.811056,0.19282684
8,LinearSchedule,md4,gibbs,4,4,0.1,True,,1.8126203,0.19337007
8,LinearSchedule,md4,gibbs,4,4,0.5,True,,1.8079606,0.19381887
8,LinearSchedule,md4,gibbs,4,4,0.5,True,,1.8064042,0.19237009
8,LinearSchedule,md4,gibbs,4,4,0.5,True,,1.8025885,0.19429132
8,LinearSchedule,md4,gibbs,4,4,0.5,True,,1.810646,0.19294494
8,LinearSchedule,md4,gibbs,4,4,0.5,True,,1.8129542,0.1932992
8,LinearSchedule,md4,gibbs,4,4,1.0,True,,1.8084459,0.19355117
8,LinearSchedule,md4,gibbs,4,4,1.0,True,,1.8057673,0.19237794
8,LinearSchedule,md4,gibbs,4,4,1.0,True,,1.8027662,0.19413388
8,LinearSchedule,md4,gibbs,4,4,1.0,True,,1.8099548,0.19287407
8,LinearSchedule,md4,gibbs,4,4,1.0,True,,1.813699,0.19336224
8,LinearSchedule,md4,gibbs,4,4,2.0,True,,1.8084717,0.19355904
8,LinearSchedule,md4,gibbs,4,4,2.0,True,,1.8071948,0.19203939
8,LinearSchedule,md4,gibbs,4,4,2.0,True,,1.8031218,0.19393702
8,LinearSchedule,md4,gibbs,4,4,2.0,True,,1.8095454,0.1927402
8,LinearSchedule,md4,gibbs,4,4,2.0,True,,1.8133138,0.19307876
8,LinearSchedule,md4,gibbs,4,4,4.0,True,,1.8056653,0.1933937
8,LinearSchedule,md4,gibbs,4,4,4.0,True,,1.8050796,0.19193701
8,LinearSchedule,md4,gibbs,4,4,4.0,True,,1.801168,0.19369292
8,LinearSchedule,md4,gibbs,4,4,4.0,True,,1.8072715,0.19277959
8,LinearSchedule,md4,gibbs,4,4,4.0,True,,1.8120558,0.19262993
8,LinearSchedule,md4,gibbs,4,8,0.1,True,,1.8496307,0.2014567
8,LinearSchedule,md4,gibbs,4,8,0.1,True,,1.8522538,0.2012834
8,LinearSchedule,md4,gibbs,4,8,0.1,True,,1.8486958,0.20272441
8,LinearSchedule,md4,gibbs,4,8,0.1,True,,1.8484288,0.20256694
8,LinearSchedule,md4,gibbs,4,8,0.1,True,,1.8593841,0.19959053
8,LinearSchedule,md4,gibbs,4,8,0.5,True,,1.8514768,0.20108658
