method,num_cstep,entry_time,cstep_size,num_pstep,corrector,fid,k,gibbs_temperature,maskgit_temperature
gibbs,0,-1.0,-1.0,8,gibbs,14.622557,-1,-1.0,-1.0
gibbs,0,-1.0,-1.0,16,gibbs,10.237475,-1,-1.0,-1.0
gibbs,0,-1.0,-1.0,32,gibbs,8.521254,-1,-1.0,-1.0
gibbs,0,-1.0,-1.0,64,gibbs,7.798299,-1,-1.0,-1.0
gibbs,0,-1.0,-1.0,128,gibbs,7.283275,-1,-1.0,-1.0
gibbs,0,-1.0,-1.0,256,gibbs,6.9854617,-1,-1.0,-1.0
euler,1,0.9,0.5,8,forward_backward,10.934086,-1,-1.0,-1.0
euler,1,0.9,1.0,16,forward_backward,8.272053,-1,-1.0,-1.0
euler,1,0.9,2.0,32,forward_backward,6.9508324,-1,-1.0,-1.0
euler,1,0.9,2.0,64,forward_backward,6.163162,-1,-1.0,-1.0
euler,1,0.9,2.0,128,forward_backward,5.765128,-1,-1.0,-1.0
gibbs,1,0.9,-1.0,8,gibbs,6.4477763,16,1.0,-1.0
gibbs,1,0.9,-1.0,16,gibbs,6.0020475,8,5.0,-1.0
gibbs,1,0.9,-1.0,32,gibbs,5.9208355,2,5.0,-1.0
gibbs,1,0.9,-1.0,64,gibbs,5.611884,16,10.0,-1.0
gibbs,1,0.9,-1.0,128,gibbs,5.584269,4,1000.0,-1.0
maskgit,0,-1.0,-1.0,8,none,7.504204,-1,-1.0,4.0
maskgit,0,-1.0,-1.0,16,none,6.644805,-1,-1.0,8.0
maskgit,0,-1.0,-1.0,32,none,6.521724,-1,-1.0,12.0
maskgit,0,-1.0,-1.0,64,none,6.3987484,-1,-1.0,12.0
maskgit,0,-1.0,-1.0,128,none,6.512541,-1,-1.0,10.0
maskgit,0,-1.0,-1.0,256,none,6.3368564,-1,-1.0,12.0
