method,num_cstep,entry_time,cstep_size,num_pstep,corrector,fid,k,gibbs_temperature,maskgit_temperature
gibbs,0,-1.0,-1.0,8,gibbs,26.194972,-1,-1.0,-1.0
gibbs,0,-1.0,-1.0,16,gibbs,17.742769,-1,-1.0,-1.0
gibbs,0,-1.0,-1.0,32,gibbs,14.156282,-1,-1.0,-1.0
gibbs,0,-1.0,-1.0,64,gibbs,12.304841,-1,-1.0,-1.0
gibbs,0,-1.0,-1.0,128,gibbs,11.204482,-1,-1.0,-1.0
gibbs,0,-1.0,-1.0,256,gibbs,10.242689,-1,-1.0,-1.0
euler,1,0.9,0.5,8,forward_backward,17.863224,-1,-1.0,-1.0
euler,1,0.9,1.0,16,forward_backward,12.637311,-1,-1.0,-1.0
euler,1,0.9,2.0,32,forward_backward,10.109153,-1,-1.0,-1.0
euler,1,0.9,2.0,64,forward_backward,8.573378,-1,-1.0,-1.0
euler,1,0.9,2.0,128,forward_backward,7.759522,-1,-1.0,-1.0
gibbs,1,0.9,-1.0,8,gibbs,7.021348,16,1.0,-1.0
gibbs,1,0.9,-1.0,16,gibbs,6.944374,8,5.0,-1.0
gibbs,1,0.9,-1.0,32,gibbs,6.433973,2,5.0,-1.0
gibbs,1,0.9,-1.0,64,gibbs,4.912236,16,10.0,-1.0
gibbs,1,0.9,-1.0,128,gibbs,7.528401,4,1000.0,-1.0
maskgit,0,-1.0,-1.0,8,none,7.598366,-1,-1.0,4.0
maskgit,0,-1.0,-1.0,16,none,7.053461,-1,-1.0,8.0
maskgit,0,-1.0,-1.0,32,none,7.018178,-1,-1.0,12.0
maskgit,0,-1.0,-1.0,64,none,6.698554,-1,-1.0,12.0
maskgit,0,-1.0,-1.0,128,none,6.513322,-1,-1.0,10.0
maskgit,0,-1.0,-1.0,256,none,6.802966,-1,-1.0,12.0
