method,num_cstep,entry_time,cstep_size,num_pstep,corrector,fid
euler,1,0.9,0.005,8,mpf,22.187763
euler,1,0.9,0.5,8,barker,17.411892
euler,1,0.9,0.005,8,mpf_full,84.95978
euler,1,0.9,0.005,8,barker_full,32.581875
euler,1,0.9,0.005,16,mpf,13.780941
euler,1,0.9,0.5,16,barker,12.340879
euler,1,0.9,0.005,16,mpf_full,43.900818
euler,1,0.9,0.005,16,barker_full,17.61781
euler,1,0.9,0.005,32,mpf,11.429613
euler,1,0.9,0.5,32,barker,10.623663
euler,1,0.9,0.005,32,mpf_full,18.182625
euler,1,0.9,0.005,32,barker_full,12.898148
euler,1,0.9,0.005,64,mpf,10.137822
euler,1,0.9,0.5,64,barker,10.171028
euler,1,0.9,0.005,64,mpf_full,10.490939
euler,1,0.9,0.005,64,barker_full,11.2196665
euler,1,0.9,0.01,8,mpf,28.258419
euler,1,0.9,1.0,8,barker,19.395674
euler,1,0.9,0.01,8,mpf_full,140.95163
euler,1,0.9,0.01,8,barker_full,52.606117
euler,1,0.9,0.01,16,mpf,14.418845
euler,1,0.9,1.0,16,barker,11.794431
euler,1,0.9,0.01,16,mpf_full,109.24162
euler,1,0.9,0.01,16,barker_full,29.409426
euler,1,0.9,0.01,32,mpf,11.129715
euler,1,0.9,1.0,32,barker,10.197982
euler,1,0.9,0.01,32,mpf_full,52.30436
euler,1,0.9,0.01,32,barker_full,17.191109
euler,1,0.9,0.01,64,mpf,10.249584
euler,1,0.9,1.0,64,barker,9.552938
euler,1,0.9,0.01,64,mpf_full,18.355043
euler,1,0.9,0.01,64,barker_full,12.543525
euler,1,0.9,0.02,8,mpf,39.54721
euler,1,0.9,2.0,8,barker,25.127329
euler,1,0.9,0.02,8,mpf_full,169.08073
euler,1,0.9,0.02,8,barker_full,90.14482
euler,1,0.9,0.02,16,mpf,18.315666
euler,1,0.9,2.0,16,barker,12.442849
euler,1,0.9,0.02,16,mpf_full,160.33762
euler,1,0.9,0.02,16,barker_full,67.48863
euler,1,0.9,0.02,32,mpf,11.370888
euler,1,0.9,2.0,32,barker,9.863645
euler,1,0.9,0.02,32,mpf_full,125.09091
euler,1,0.9,0.02,32,barker_full,38.435913
euler,1,0.9,0.02,64,mpf,9.777676
euler,1,0.9,2.0,64,barker,9.081885
euler,1,0.9,0.02,64,mpf_full,57.60341
euler,1,0.9,0.02,64,barker_full,20.314201
euler,1,0.9,0.04,8,mpf,55.760635
euler,1,0.9,4.0,8,barker,36.59912
euler,1,0.9,0.04,8,mpf_full,181.1408
euler,1,0.9,0.04,8,barker_full,127.79117
euler,1,0.9,0.04,16,mpf,27.510818
euler,1,0.9,4.0,16,barker,16.343235
euler,1,0.9,0.04,16,mpf_full,178.58386
euler,1,0.9,0.04,16,barker_full,132.19826
euler,1,0.9,0.04,32,mpf,14.92582
euler,1,0.9,4.0,32,barker,10.510205
euler,1,0.9,0.04,32,mpf_full,166.39952
euler,1,0.9,0.04,32,barker_full,101.70137
