method,num_cstep,entry_time,cstep_size,num_pstep,corrector,fid,k,gibbs_temperature,maskgit_temperature
gibbs,0,-1.0,-1.0,8,gibbs,17.127293,-1,-1.0,-1.0
gibbs,0,-1.0,-1.0,16,gibbs,12.547383,-1,-1.0,-1.0
gibbs,0,-1.0,-1.0,32,gibbs,10.885585,-1,-1.0,-1.0
gibbs,0,-1.0,-1.0,64,gibbs,10.232535,-1,-1.0,-1.0
gibbs,0,-1.0,-1.0,128,gibbs,9.811467,-1,-1.0,-1.0
gibbs,0,-1.0,-1.0,256,gibbs,9.222813,-1,-1.0,-1.0
euler,1,0.9,0.5,8,forward_backward,13.465355,-1,-1.0,-1.0
euler,1,0.9,0.5,16,forward_backward,10.9972,-1,-1.0,-1.0
euler,1,0.9,0.5,32,forward_backward,9.71133,-1,-1.0,-1.0
euler,1,0.9,0.5,64,forward_backward,9.512061,-1,-1.0,-1.0
euler,1,0.9,0.5,128,forward_backward,9.0576935,-1,-1.0,-1.0
euler,1,0.9,1.0,8,forward_backward,14.137428,-1,-1.0,-1.0
euler,1,0.9,1.0,16,forward_backward,10.888135,-1,-1.0,-1.0
euler,1,0.9,1.0,32,forward_backward,9.588077,-1,-1.0,-1.0
euler,1,0.9,1.0,64,forward_backward,8.65862,-1,-1.0,-1.0
euler,1,0.9,1.0,128,forward_backward,8.785983,-1,-1.0,-1.0
euler,1,0.9,2.0,8,forward_backward,16.580276,-1,-1.0,-1.0
euler,1,0.9,2.0,16,forward_backward,11.717769,-1,-1.0,-1.0
euler,1,0.9,2.0,32,forward_backward,9.574604,-1,-1.0,-1.0
euler,1,0.9,2.0,64,forward_backward,8.619032,-1,-1.0,-1.0
euler,1,0.9,2.0,128,forward_backward,8.156117,-1,-1.0,-1.0
euler,1,0.9,4.0,8,forward_backward,23.410883,-1,-1.0,-1.0
euler,1,0.9,4.0,16,forward_backward,16.543814,-1,-1.0,-1.0
euler,1,0.9,4.0,32,forward_backward,11.3269615,-1,-1.0,-1.0
euler,1,0.9,4.0,64,forward_backward,9.073341,-1,-1.0,-1.0
euler,1,0.9,4.0,128,forward_backward,8.254391,-1,-1.0,-1.0
gibbs,1,0.9,-1.0,8,gibbs,8.905846,16,0.1,-1.0
gibbs,1,0.9,-1.0,8,gibbs,8.8077345,16,1.0,-1.0
gibbs,1,0.9,-1.0,8,gibbs,9.047307,16,2.0,-1.0
gibbs,1,0.9,-1.0,8,gibbs,10.162964,16,5.0,-1.0
gibbs,1,0.9,-1.0,8,gibbs,9.13822,8,0.1,-1.0
gibbs,1,0.9,-1.0,8,gibbs,8.962822,8,1.0,-1.0
gibbs,1,0.9,-1.0,8,gibbs,9.275135,8,2.0,-1.0
gibbs,1,0.9,-1.0,8,gibbs,10.539288,8,5.0,-1.0
gibbs,1,0.9,-1.0,8,gibbs,9.155887,4,0.1,-1.0
gibbs,1,0.9,-1.0,8,gibbs,9.258403,4,1.0,-1.0
gibbs,1,0.9,-1.0,8,gibbs,10.197264,4,2.0,-1.0
gibbs,1,0.9,-1.0,8,gibbs,11.473218,4,5.0,-1.0
gibbs,1,0.9,-1.0,8,gibbs,9.818724,2,0.1,-1.0
gibbs,1,0.9,-1.0,8,gibbs,10.318995,2,1.0,-1.0
gibbs,1,0.9,-1.0,8,gibbs,10.976039,2,2.0,-1.0
gibbs,1,0.9,-1.0,8,gibbs,12.675934,2,5.0,-1.0
gibbs,1,0.9,-1.0,8,gibbs,11.310425,1,0.1,-1.0
gibbs,1,0.9,-1.0,8,gibbs,11.734142,1,1.0,-1.0
gibbs,1,0.9,-1.0,8,gibbs,12.363876,1,2.0,-1.0
gibbs,1,0.9,-1.0,8,gibbs,14.107915,1,5.0,-1.0
gibbs,1,0.9,-1.0,16,gibbs,10.278999,16,0.1,-1.0
gibbs,1,0.9,-1.0,16,gibbs,9.3871355,16,1.0,-1.0
gibbs,1,0.9,-1.0,16,gibbs,8.719775,16,2.0,-1.0
gibbs,1,0.9,-1.0,16,gibbs,8.501333,16,5.0,-1.0
gibbs,1,0.9,-1.0,16,gibbs,10.336172,8,0.1,-1.0
gibbs,1,0.9,-1.0,16,gibbs,9.557637,8,1.0,-1.0
gibbs,1,0.9,-1.0,16,gibbs,8.700797,8,2.0,-1.0
gibbs,1,0.9,-1.0,16,gibbs,8.367004,8,5.0,-1.0
gibbs,1,0.9,-1.0,16,gibbs,9.785729,4,0.1,-1.0
gibbs,1,0.9,-1.0,16,gibbs,9.151835,4,1.0,-1.0
gibbs,1,0.9,-1.0,16,gibbs,8.626688,4,2.0,-1.0
gibbs,1,0.9,-1.0,16,gibbs,8.741638,4,5.0,-1.0
gibbs,1,0.9,-1.0,16,gibbs,9.186824,2,0.1,-1.0
gibbs,1,0.9,-1.0,16,gibbs,8.702785,2,1.0,-1.0
gibbs,1,0.9,-1.0,16,gibbs,8.816473,2,2.0,-1.0
gibbs,1,0.9,-1.0,16,gibbs,9.213745,2,5.0,-1.0
gibbs,1,0.9,-1.0,16,gibbs,8.861034,1,0.1,-1.0
gibbs,1,0.9,-1.0,16,gibbs,8.867254,1,1.0,-1.0
gibbs,1,0.9,-1.0,16,gibbs,9.159445,1,2.0,-1.0
gibbs,1,0.9,-1.0,16,gibbs,10.054191,1,5.0,-1.0
gibbs,1,0.9,-1.0,32,gibbs,13.286866,16,0.1,-1.0
gibbs,1,0.9,-1.0,32,gibbs,12.026124,16,1.0,-1.0
gibbs,1,0.9,-1.0,32,gibbs,10.408947,16,2.0,-1.0
gibbs,1,0.9,-1.0,32,gibbs,8.36344,16,5.0,-1.0
gibbs,1,0.9,-1.0,32,gibbs,13.49136,8,0.1,-1.0
gibbs,1,0.9,-1.0,32,gibbs,12.467146,8,1.0,-1.0
gibbs,1,0.9,-1.0,32,gibbs,10.788046,8,2.0,-1.0
gibbs,1,0.9,-1.0,32,gibbs,8.43215,8,5.0,-1.0
gibbs,1,0.9,-1.0,32,gibbs,12.679925,4,0.1,-1.0
gibbs,1,0.9,-1.0,32,gibbs,11.326642,4,1.0,-1.0
gibbs,1,0.9,-1.0,32,gibbs,10.091305,4,2.0,-1.0
gibbs,1,0.9,-1.0,32,gibbs,8.409612,4,5.0,-1.0
gibbs,1,0.9,-1.0,32,gibbs,10.939194,2,0.1,-1.0
gibbs,1,0.9,-1.0,32,gibbs,9.665317,2,1.0,-1.0
gibbs,1,0.9,-1.0,32,gibbs,9.053056,2,2.0,-1.0
gibbs,1,0.9,-1.0,32,gibbs,8.214524,2,5.0,-1.0
gibbs,1,0.9,-1.0,32,gibbs,9.089502,1,0.1,-1.0
gibbs,1,0.9,-1.0,32,gibbs,8.631668,1,1.0,-1.0
gibbs,1,0.9,-1.0,32,gibbs,8.392785,1,2.0,-1.0
gibbs,1,0.9,-1.0,32,gibbs,8.455309,1,5.0,-1.0
gibbs,1,0.9,-1.0,64,gibbs,13.955865,16,2.0,-1.0
gibbs,1,0.9,-1.0,64,gibbs,10.012642,16,5.0,-1.0
gibbs,1,0.9,-1.0,64,gibbs,7.9020333,16,10.0,-1.0
gibbs,1,0.9,-1.0,64,gibbs,9.211423,16,1000.0,-1.0
gibbs,1,0.9,-1.0,64,gibbs,14.161983,8,2.0,-1.0
gibbs,1,0.9,-1.0,64,gibbs,10.29107,8,5.0,-1.0
gibbs,1,0.9,-1.0,64,gibbs,8.272194,8,10.0,-1.0
gibbs,1,0.9,-1.0,64,gibbs,8.636423,8,1000.0,-1.0
gibbs,1,0.9,-1.0,64,gibbs,13.156882,4,2.0,-1.0
gibbs,1,0.9,-1.0,64,gibbs,9.678842,4,5.0,-1.0
gibbs,1,0.9,-1.0,64,gibbs,8.073965,4,10.0,-1.0
gibbs,1,0.9,-1.0,64,gibbs,8.981939,4,1000.0,-1.0
gibbs,1,0.9,-1.0,64,gibbs,11.315836,2,2.0,-1.0
gibbs,1,0.9,-1.0,64,gibbs,9.009563,2,5.0,-1.0
gibbs,1,0.9,-1.0,64,gibbs,8.038528,2,10.0,-1.0
gibbs,1,0.9,-1.0,64,gibbs,9.242498,2,1000.0,-1.0
gibbs,1,0.9,-1.0,64,gibbs,9.638659,1,2.0,-1.0
gibbs,1,0.9,-1.0,64,gibbs,8.396048,1,5.0,-1.0
gibbs,1,0.9,-1.0,64,gibbs,8.242357,1,10.0,-1.0
gibbs,1,0.9,-1.0,64,gibbs,9.499545,1,1000.0,-1.0
gibbs,1,0.9,-1.0,128,gibbs,17.931202,16,2.0,-1.0
gibbs,1,0.9,-1.0,128,gibbs,13.156819,16,5.0,-1.0
gibbs,1,0.9,-1.0,128,gibbs,9.678455,16,10.0,-1.0
gibbs,1,0.9,-1.0,128,gibbs,8.480478,16,1000.0,-1.0
gibbs,1,0.9,-1.0,128,gibbs,18.38685,8,2.0,-1.0
gibbs,1,0.9,-1.0,128,gibbs,13.40277,8,5.0,-1.0
gibbs,1,0.9,-1.0,128,gibbs,10.122705,8,10.0,-1.0
gibbs,1,0.9,-1.0,128,gibbs,7.9098635,8,1000.0,-1.0
gibbs,1,0.9,-1.0,128,gibbs,17.047195,4,2.0,-1.0
gibbs,1,0.9,-1.0,128,gibbs,12.702,4,5.0,-1.0
gibbs,1,0.9,-1.0,128,gibbs,9.568849,4,10.0,-1.0
gibbs,1,0.9,-1.0,128,gibbs,7.8534436,4,1000.0,-1.0
gibbs,1,0.9,-1.0,128,gibbs,14.701878,2,2.0,-1.0
gibbs,1,0.9,-1.0,128,gibbs,11.069311,2,5.0,-1.0
gibbs,1,0.9,-1.0,128,gibbs,8.763047,2,10.0,-1.0
gibbs,1,0.9,-1.0,128,gibbs,8.402016,2,1000.0,-1.0
gibbs,1,0.9,-1.0,128,gibbs,12.272065,1,2.0,-1.0
gibbs,1,0.9,-1.0,128,gibbs,9.372408,1,5.0,-1.0
gibbs,1,0.9,-1.0,128,gibbs,8.399897,1,10.0,-1.0
gibbs,1,0.9,-1.0,128,gibbs,9.02313,1,1000.0,-1.0
maskgit,0,-1.0,-1.0,8,,23.21196,-1,-1.0,0.5
maskgit,0,-1.0,-1.0,8,,16.305168,-1,-1.0,1.0
maskgit,0,-1.0,-1.0,8,,11.948665,-1,-1.0,2.0
maskgit,0,-1.0,-1.0,8,,9.768801,-1,-1.0,4.0
maskgit,0,-1.0,-1.0,8,,10.093969,-1,-1.0,8.0
maskgit,0,-1.0,-1.0,16,,43.715343,-1,-1.0,0.5
maskgit,0,-1.0,-1.0,16,,22.756968,-1,-1.0,1.0
maskgit,0,-1.0,-1.0,16,,13.559573,-1,-1.0,2.0
maskgit,0,-1.0,-1.0,16,,10.180794,-1,-1.0,4.0
maskgit,0,-1.0,-1.0,16,,9.065118,-1,-1.0,8.0
maskgit,0,-1.0,-1.0,32,,75.05773,-1,-1.0,0.5
maskgit,0,-1.0,-1.0,32,,31.35962,-1,-1.0,1.0
maskgit,0,-1.0,-1.0,32,,14.840203,-1,-1.0,2.0
maskgit,0,-1.0,-1.0,32,,10.826639,-1,-1.0,4.0
maskgit,0,-1.0,-1.0,32,,9.054859,-1,-1.0,8.0
maskgit,0,-1.0,-1.0,64,,92.30394,-1,-1.0,0.5
maskgit,0,-1.0,-1.0,64,,36.10998,-1,-1.0,1.0
maskgit,0,-1.0,-1.0,64,,15.624026,-1,-1.0,2.0
maskgit,0,-1.0,-1.0,64,,10.82784,-1,-1.0,4.0
