method,num_cstep,entry_time,cstep_size,num_pstep,corrector,fid,k,gibbs_temperature,maskgit_temperature
gibbs,1,0.9,-1,4,gibbs,11.919572,16,0.1,-1
gibbs,1,0.9,-1,4,gibbs,13.051496,16,1.0,-1
gibbs,1,0.9,-1,4,gibbs,15.329264,16,2.0,-1
gibbs,1,0.9,-1,4,gibbs,18.922295,16,5.0,-1
gibbs,1,0.9,-1,4,gibbs,12.22942,8,0.1,-1
gibbs,1,0.9,-1,4,gibbs,13.604728,8,1.0,-1
gibbs,1,0.9,-1,4,gibbs,16.203924,8,2.0,-1
gibbs,1,0.9,-1,4,gibbs,19.939274,8,5.0,-1
gibbs,1,0.9,-1,4,gibbs,14.127241,4,0.1,-1
gibbs,1,0.9,-1,4,gibbs,16.172781,4,1.0,-1
gibbs,1,0.9,-1,4,gibbs,19.445673,4,2.0,-1
gibbs,1,0.9,-1,4,gibbs,22.696571,4,5.0,-1
gibbs,1,0.9,-1,4,gibbs,17.727629,2,0.1,-1
gibbs,1,0.9,-1,4,gibbs,20.168575,2,1.0,-1
gibbs,1,0.9,-1,4,gibbs,22.831486,2,2.0,-1
gibbs,1,0.9,-1,4,gibbs,25.143963,2,5.0,-1
gibbs,1,0.9,-1,4,gibbs,21.403048,1,0.1,-1
gibbs,1,0.9,-1,4,gibbs,23.648672,1,1.0,-1
gibbs,1,0.9,-1,4,gibbs,25.646648,1,2.0,-1
gibbs,1,0.9,-1,4,gibbs,27.1765,1,5.0,-1
gibbs,1,0.9,-1,8,gibbs,8.847402,16,0.1,-1
gibbs,1,0.9,-1,8,gibbs,8.976454,16,1.0,-1
gibbs,1,0.9,-1,8,gibbs,9.533326,16,2.0,-1
gibbs,1,0.9,-1,8,gibbs,11.538706,16,5.0,-1
gibbs,1,0.9,-1,8,gibbs,9.240782,8,0.1,-1
gibbs,1,0.9,-1,8,gibbs,9.07622,8,1.0,-1
gibbs,1,0.9,-1,8,gibbs,9.990398,8,2.0,-1
gibbs,1,0.9,-1,8,gibbs,12.16391,8,5.0,-1
gibbs,1,0.9,-1,8,gibbs,9.105338,4,0.1,-1
gibbs,1,0.9,-1,8,gibbs,9.496021,4,1.0,-1
gibbs,1,0.9,-1,8,gibbs,10.8305435,4,2.0,-1
gibbs,1,0.9,-1,8,gibbs,13.140131,4,5.0,-1
gibbs,1,0.9,-1,8,gibbs,9.762205,2,0.1,-1
gibbs,1,0.9,-1,8,gibbs,10.795137,2,1.0,-1
gibbs,1,0.9,-1,8,gibbs,12.350377,2,2.0,-1
gibbs,1,0.9,-1,8,gibbs,14.401709,2,5.0,-1
gibbs,1,0.9,-1,8,gibbs,11.08202,1,0.1,-1
gibbs,1,0.9,-1,8,gibbs,12.971506,1,1.0,-1
gibbs,1,0.9,-1,8,gibbs,14.081133,1,2.0,-1
gibbs,1,0.9,-1,8,gibbs,15.308031,1,5.0,-1
gibbs,1,0.9,-1,16,gibbs,10.033152,16,0.1,-1
gibbs,1,0.9,-1,16,gibbs,9.347862,16,1.0,-1
gibbs,1,0.9,-1,16,gibbs,8.330233,16,2.0,-1
gibbs,1,0.9,-1,16,gibbs,8.738325,16,5.0,-1
gibbs,1,0.9,-1,16,gibbs,10.5556135,8,0.1,-1
gibbs,1,0.9,-1,16,gibbs,9.211092,8,1.0,-1
gibbs,1,0.9,-1,16,gibbs,8.2721195,8,2.0,-1
gibbs,1,0.9,-1,16,gibbs,9.044367,8,5.0,-1
gibbs,1,0.9,-1,16,gibbs,9.886402,4,0.1,-1
gibbs,1,0.9,-1,16,gibbs,8.708569,4,1.0,-1
gibbs,1,0.9,-1,16,gibbs,8.577386,4,2.0,-1
gibbs,1,0.9,-1,16,gibbs,9.860838,4,5.0,-1
gibbs,1,0.9,-1,16,gibbs,9.21105,2,0.1,-1
gibbs,1,0.9,-1,16,gibbs,8.798253,2,1.0,-1
gibbs,1,0.9,-1,16,gibbs,9.255108,2,2.0,-1
gibbs,1,0.9,-1,16,gibbs,10.667225,2,5.0,-1
gibbs,1,0.9,-1,16,gibbs,8.815953,1,0.1,-1
gibbs,1,0.9,-1,16,gibbs,9.4294,1,1.0,-1
gibbs,1,0.9,-1,16,gibbs,10.33575,1,2.0,-1
gibbs,1,0.9,-1,16,gibbs,11.378124,1,5.0,-1
gibbs,1,0.9,-1,32,gibbs,13.311781,16,0.1,-1
gibbs,1,0.9,-1,32,gibbs,11.715721,16,1.0,-1
gibbs,1,0.9,-1,32,gibbs,9.715002,16,2.0,-1
gibbs,1,0.9,-1,32,gibbs,7.935414,16,5.0,-1
gibbs,1,0.9,-1,32,gibbs,13.508995,8,0.1,-1
gibbs,1,0.9,-1,32,gibbs,11.777508,8,1.0,-1
gibbs,1,0.9,-1,32,gibbs,9.4001045,8,2.0,-1
gibbs,1,0.9,-1,32,gibbs,8.053601,8,5.0,-1
gibbs,1,0.9,-1,32,gibbs,12.602441,4,0.1,-1
gibbs,1,0.9,-1,32,gibbs,10.357164,4,1.0,-1
gibbs,1,0.9,-1,32,gibbs,8.691524,4,2.0,-1
gibbs,1,0.9,-1,32,gibbs,8.333813,4,5.0,-1
gibbs,1,0.9,-1,32,gibbs,11.038238,2,0.1,-1
gibbs,1,0.9,-1,32,gibbs,8.957811,2,1.0,-1
gibbs,1,0.9,-1,32,gibbs,8.24864,2,2.0,-1
