method,num_cstep,entry_time,cstep_size,num_pstep,corrector,fid,k,gibbs_temperature,maskgit_temperature
gibbs,1,1.0,-1.0,4,gibbs,8.93028,32,0.1,-1
gibbs,1,1.0,-1.0,4,gibbs,9.836065,32,1.0,-1
gibbs,1,1.0,-1.0,4,gibbs,11.852129,32,2.0,-1
gibbs,1,1.0,-1.0,4,gibbs,16.026003,32,5.0,-1
gibbs,1,1.0,-1.0,4,gibbs,18.665386,32,10.0,-1
gibbs,1,1.0,-1.0,4,gibbs,8.32691,16,0.1,-1
gibbs,1,1.0,-1.0,4,gibbs,9.28549,16,1.0,-1
gibbs,1,1.0,-1.0,4,gibbs,11.337827,16,2.0,-1
gibbs,1,1.0,-1.0,4,gibbs,15.676931,16,5.0,-1
gibbs,1,1.0,-1.0,4,gibbs,17.872513,16,10.0,-1
gibbs,1,1.0,-1.0,4,gibbs,8.544322,8,0.1,-1
gibbs,1,1.0,-1.0,4,gibbs,9.659839,8,1.0,-1
gibbs,1,1.0,-1.0,4,gibbs,11.9525,8,2.0,-1
gibbs,1,1.0,-1.0,4,gibbs,16.066055,8,5.0,-1
gibbs,1,1.0,-1.0,4,gibbs,17.922522,8,10.0,-1
gibbs,1,1.0,-1.0,4,gibbs,10.499523,4,0.1,-1
gibbs,1,1.0,-1.0,4,gibbs,12.060089,4,1.0,-1
gibbs,1,1.0,-1.0,4,gibbs,14.592531,4,2.0,-1
gibbs,1,1.0,-1.0,4,gibbs,18.196508,4,5.0,-1
gibbs,1,1.0,-1.0,4,gibbs,19.672333,4,10.0,-1
gibbs,1,1.0,-1.0,8,gibbs,5.880204,32,0.1,-1
gibbs,1,1.0,-1.0,8,gibbs,5.956147,32,1.0,-1
gibbs,1,1.0,-1.0,8,gibbs,6.504483,32,2.0,-1
gibbs,1,1.0,-1.0,8,gibbs,9.140092,32,5.0,-1
gibbs,1,1.0,-1.0,8,gibbs,11.404811,32,10.0,-1
gibbs,1,1.0,-1.0,8,gibbs,5.9815397,16,0.1,-1
gibbs,1,1.0,-1.0,8,gibbs,5.782949,16,1.0,-1
gibbs,1,1.0,-1.0,8,gibbs,6.063873,16,2.0,-1
gibbs,1,1.0,-1.0,8,gibbs,7.9464455,16,5.0,-1
gibbs,1,1.0,-1.0,8,gibbs,9.596033,16,10.0,-1
gibbs,1,1.0,-1.0,8,gibbs,6.049093,8,0.1,-1
gibbs,1,1.0,-1.0,8,gibbs,5.8898077,8,1.0,-1
gibbs,1,1.0,-1.0,8,gibbs,6.1985307,8,2.0,-1
gibbs,1,1.0,-1.0,8,gibbs,7.993296,8,5.0,-1
gibbs,1,1.0,-1.0,8,gibbs,8.994701,8,10.0,-1
gibbs,1,1.0,-1.0,8,gibbs,6.0953784,4,0.1,-1
gibbs,1,1.0,-1.0,8,gibbs,6.07407,4,1.0,-1
gibbs,1,1.0,-1.0,8,gibbs,6.765118,4,2.0,-1
