nfe,predictor_type,corrector_type,forward_process,num_steps,gibbs_k,gibbs_temperature,anneal_temperature,maskgit_temperature,corrector_step_size,error_rate_mean,error_rate_std,avg_run_length_mean,avg_run_length_std,run_length_deviation,weighted_score
16,md4,forward_backward,CosineSchedule,8,none,none,False,none,1.0,0.0116425211,0.0002547751153857499,5.9208301599999995,0.004221515864973386,16.63962658356563,0.17803878693565628
16,md4,gibbs,CosineSchedule,8,1.0,0.01,False,none,none,0.000587401456,4.8729913515866515e-05,7.81383666,0.11801832509817309,4.779310149159957,0.048380502947599574
16,md4,none,CosineSchedule,16,none,none,False,none,none,0.009299212800000001,0.000182599322271348,6.8047701599999995,0.05403459329173023,10.209493730426429,0.11139415010426429
32,md4,forward_backward,CosineSchedule,16,none,none,False,none,0.5,0.00533858094,0.00020619984361261012,7.440200300000001,0.08363960790755093,6.552574504120086,0.07086432598120086
32,md4,gibbs,CosineSchedule,16,1.0,2.0,False,none,none,5.82677144e-05,3.275060234573323e-05,9.718823,0.13631922625037132,0.07906050532899976,0.0008488727676899976
32,md4,none,CosineSchedule,32,none,none,False,none,none,0.00438267562,7.526907351995808e-05,7.918259880000001,0.0890022905112102,4.333641927217611,0.04771909489217611
64,md4,forward_backward,CosineSchedule,32,none,none,False,none,1.0,0.00246771588,0.00011339062920959748,8.2252844,0.08298789855715934,3.1496154608833615,0.03396387048883361
64,md4,gibbs,CosineSchedule,32,1.0,0.5,False,none,none,4.7244096e-06,4.312776181356598e-06,13.4295096,0.11411542399824814,11.761536096492156,0.11762008537452157
64,md4,none,CosineSchedule,64,none,none,False,none,none,0.0021023616,4.7823801455992724e-05,8.711863300000001,0.03303494787107188,1.6592961578868874,0.01869532317886887
128,md4,forward_backward,CosineSchedule,64,none,none,False,none,1.0,0.00123149574,7.901962394000892e-05,8.7929143,0.08476326433308236,1.457055887144491,0.01580205461144491
128,md4,gibbs,CosineSchedule,64,1.0,4.0,False,none,none,0.0,0.0,10.9524076,0.09300604928336642,0.9070802365377615,0.009070802365377615
128,md4,none,CosineSchedule,128,none,none,False,none,none,0.00109921232,6.734726728506671e-05,9.06858,0.046257224550453946,0.8675432163999987,0.009774644483999985
