method,num_cstep,entry_time,cstep_size,num_pstep,corrector,fid
euler,1,0.9,0.5,8,,17.66707
euler,1,0.9,0.5,16,,12.744951
euler,1,0.9,0.5,32,,11.01973
euler,1,0.9,0.5,64,,10.241731
euler,1,0.9,0.5,128,,9.794936
euler,1,0.9,0.5,8,forward_backward,13.419053
euler,1,0.9,0.005,8,mpf,18.159935
euler,1,0.9,0.5,8,barker,13.83499
euler,1,0.9,0.5,16,forward_backward,10.884995
euler,1,0.9,0.005,16,mpf,12.074937
euler,1,0.9,0.5,16,barker,10.966675
euler,1,0.9,0.5,32,forward_backward,9.820521
euler,1,0.9,0.005,32,mpf,10.439504
euler,1,0.9,0.5,32,barker,9.88395
euler,1,0.9,0.5,64,forward_backward,9.430422
euler,1,0.9,0.005,64,mpf,9.412968
euler,1,0.9,0.5,64,barker,9.536452
euler,1,0.9,0.5,128,forward_backward,9.287452
euler,1,0.9,0.005,128,mpf,9.315804
euler,1,0.9,0.5,128,barker,9.241701
euler,1,0.9,1.0,8,forward_backward,14.211379
euler,1,0.9,0.01,8,mpf,22.805285
euler,1,0.9,1.0,8,barker,14.461935
euler,1,0.9,1.0,16,forward_backward,10.550706
euler,1,0.9,0.01,16,mpf,13.243733
euler,1,0.9,1.0,16,barker,10.681572
euler,1,0.9,1.0,32,forward_backward,9.308983
euler,1,0.9,0.01,32,mpf,10.2113905
euler,1,0.9,1.0,32,barker,9.362713
euler,1,0.9,1.0,64,forward_backward,8.966062
euler,1,0.9,0.01,64,mpf,9.315145
euler,1,0.9,1.0,64,barker,8.841794
euler,1,0.9,1.0,128,forward_backward,8.90473
euler,1,0.9,0.01,128,mpf,9.051235
euler,1,0.9,1.0,128,barker,8.858429
euler,1,0.9,2.0,8,forward_backward,17.09205
euler,1,0.9,0.02,8,mpf,32.21348
euler,1,0.9,2.0,8,barker,17.436354
euler,1,0.9,2.0,16,forward_backward,11.534749
euler,1,0.9,0.02,16,mpf,16.663183
euler,1,0.9,2.0,16,barker,11.260536
euler,1,0.9,2.0,32,forward_backward,9.243203
euler,1,0.9,0.02,32,mpf,10.65728
euler,1,0.9,2.0,32,barker,9.458515
euler,1,0.9,2.0,64,forward_backward,8.76888
euler,1,0.9,0.02,64,mpf,9.439725
euler,1,0.9,2.0,64,barker,8.662055
euler,1,0.9,2.0,128,forward_backward,8.447426
euler,1,0.9,0.02,128,mpf,8.644239
euler,1,0.9,2.0,128,barker,8.403791
euler,1,0.9,4.0,8,forward_backward,24.082123
euler,1,0.9,0.04,8,mpf,49.95438
euler,1,0.9,4.0,8,barker,24.45691
euler,1,0.9,4.0,16,forward_backward,14.804529
euler,1,0.9,0.04,16,mpf,27.230183
euler,1,0.9,4.0,16,barker,14.821756
euler,1,0.9,4.0,32,forward_backward,10.440903
euler,1,0.9,0.04,32,mpf,14.033086
euler,1,0.9,4.0,32,barker,10.326125
euler,1,0.9,4.0,64,forward_backward,8.626173
euler,1,0.9,0.04,64,mpf,9.926543
euler,1,0.9,4.0,64,barker,8.748746
euler,1,0.9,4.0,128,forward_backward,8.3425255
euler,1,0.9,0.04,128,mpf,8.564675
euler,1,0.9,4.0,128,barker,8.439329
euler,1,0.9,8.0,8,forward_backward,33.011097
euler,1,0.9,0.08,8,mpf,71.1824
euler,1,0.9,8.0,8,barker,32.697414
euler,1,0.9,8.0,16,forward_backward,24.613722
euler,1,0.9,0.08,16,mpf,45.168785
euler,1,0.9,8.0,16,barker,24.898094
euler,1,0.9,8.0,32,forward_backward,15.037416
euler,1,0.9,0.08,32,mpf,23.276844
euler,1,0.9,8.0,32,barker,15.265363
euler,1,0.9,8.0,64,forward_backward,10.115729
euler,1,0.9,0.08,64,mpf,12.318369
euler,1,0.9,8.0,64,barker,10.129087
euler,1,0.9,8.0,128,forward_backward,8.60033
euler,1,0.9,0.08,128,mpf,9.13358
euler,1,0.9,8.0,128,barker,8.71693
euler,1,0.5,0.5,8,forward_backward,17.015736
euler,1,0.5,0.005,8,mpf,17.076147
euler,1,0.5,0.5,8,barker,17.284645
euler,1,0.5,0.5,16,forward_backward,11.8955765
euler,1,0.5,0.005,16,mpf,12.40346
euler,1,0.5,0.5,16,barker,11.98115
euler,1,0.5,0.5,32,forward_backward,10.581656
euler,1,0.5,0.005,32,mpf,10.638163
euler,1,0.5,0.5,32,barker,10.630847
euler,1,0.5,0.5,64,forward_backward,9.616394
euler,1,0.5,0.005,64,mpf,9.972419
euler,1,0.5,0.5,64,barker,9.850236
euler,1,0.5,0.5,128,forward_backward,9.745494
euler,1,0.5,0.005,128,mpf,9.683282
euler,1,0.5,0.5,128,barker,9.588236
euler,1,0.5,1.0,8,forward_backward,16.742403
euler,1,0.5,0.01,8,mpf,17.069912
euler,1,0.5,1.0,8,barker,17.17536
euler,1,0.5,1.0,16,forward_backward,11.814095
euler,1,0.5,0.01,16,mpf,12.009044
euler,1,0.5,1.0,16,barker,11.768297
euler,1,0.5,1.0,32,forward_backward,10.298566
euler,1,0.5,0.01,32,mpf,10.419121
euler,1,0.5,1.0,32,barker,10.374872
euler,1,0.5,1.0,64,forward_backward,9.256868
euler,1,0.5,0.01,64,mpf,9.666277
euler,1,0.5,1.0,64,barker,9.330552
euler,1,0.5,1.0,128,forward_backward,9.220016
euler,1,0.5,0.01,128,mpf,9.506848
euler,1,0.5,1.0,128,barker,9.392291
euler,1,0.5,2.0,8,forward_backward,16.7328
euler,1,0.5,0.02,8,mpf,17.58001
euler,1,0.5,2.0,8,barker,16.813946
euler,1,0.5,2.0,16,forward_backward,11.634699
euler,1,0.5,0.02,16,mpf,11.851815
euler,1,0.5,2.0,16,barker,11.655832
euler,1,0.5,2.0,32,forward_backward,9.908808
euler,1,0.5,0.02,32,mpf,10.1608515
euler,1,0.5,2.0,32,barker,9.981146
euler,1,0.5,2.0,64,forward_backward,9.005375
euler,1,0.5,0.02,64,mpf,9.417579
euler,1,0.5,2.0,64,barker,9.0904045
euler,1,0.5,2.0,128,forward_backward,8.817486
euler,1,0.5,0.02,128,mpf,9.396078
euler,1,0.5,2.0,128,barker,8.770483
euler,1,0.5,4.0,8,forward_backward,17.09261
euler,1,0.5,0.04,8,mpf,18.727468
euler,1,0.5,4.0,8,barker,17.039932
euler,1,0.5,4.0,16,forward_backward,11.870482
euler,1,0.5,0.04,16,mpf,11.903251
euler,1,0.5,4.0,16,barker,12.182022
euler,1,0.5,4.0,32,forward_backward,9.727055
euler,1,0.5,0.04,32,mpf,10.013628
euler,1,0.5,4.0,32,barker,9.930219
euler,1,0.5,4.0,64,forward_backward,8.594302
euler,1,0.5,0.04,64,mpf,8.998269
euler,1,0.5,4.0,64,barker,8.831374
euler,1,0.5,4.0,128,forward_backward,8.504502
euler,1,0.5,0.04,128,mpf,8.981073
euler,1,0.5,4.0,128,barker,8.514982
